feature,weights,abs_weights,sig
APOE,0.6977392791181366,0.6977392791181366,+
NPL,0.6616796860478888,0.6616796860478888,+
LINC01727,0.6304138138274208,0.6304138138274208,+
SLC15A2,0.6255330742821329,0.6255330742821329,+
CSGALNACT1,0.6095380661470016,0.6095380661470016,+
HKDC1,0.577119808990175,0.577119808990175,+
BCAR3,0.5439757808559614,0.5439757808559614,+
ARHGAP31,0.5439566811855678,0.5439566811855678,+
SYT17,0.5358047448678148,0.5358047448678148,+
SLC1A3,0.5217560698591069,0.5217560698591069,+
ABR,0.5214047580787103,0.5214047580787103,+
ITPR2,0.5182016649515896,0.5182016649515896,+
STK17B,0.512704252696347,0.512704252696347,+
CELF2,0.5112579716627956,0.5112579716627956,+
ADGRG1,0.5014487066353495,0.5014487066353495,+
